,Mode,GeneA,GeneB,Score
288,max,838630,43142,
289,max,838636,42810,
290,max,816249,42811,
291,max,843189,42812,
292,max,843181,49892,
293,max,843185,42814,
294,max,842855,42816,
295,max,842854,42817,
296,max,842851,42819,
297,max,842859,38565,
298,max,818771,36791,
299,max,818772,36793,
300,max,818775,36826,
301,max,843320,36795,
302,max,843453,36824,
303,max,816173,36825,
304,max,843329,36799,
305,max,825285,36829,
306,max,825284,3354988,
307,max,840981,3354987,
308,max,825286,38623,
309,max,825283,38624,
310,max,817996,49168,
311,max,842582,38628,
312,max,816177,38629,
313,max,842589,40628,
314,max,829134,36178,
315,max,832003,36179,
316,max,832000,44227,
317,max,832009,44226,
318,max,817197,36174,
319,max,817198,44228,
320,max,828417,36176,
321,max,828413,36170,
322,max,828412,36173,
323,max,830352,33528,
324,max,830355,33529,
325,max,830354,33524,
326,max,824422,33526,
327,max,824423,33527,
328,max,821900,33521,
329,max,821901,41543,
330,max,821907,38199,
331,max,821904,41540,
332,max,824425,41547,
333,max,821908,41549,
334,max,824429,38193,
335,max,817370,38194,
336,max,828733,38195,
337,max,828737,38196,
338,max,828735,38197,
339,max,819827,50379,
340,max,820500,40948,
341,max,820505,40949,
342,max,820507,40760,
343,max,821630,40945,
344,max,821631,40946,
345,max,821634,40940,
346,max,821635,40941,
347,max,828084,40942,
348,max,832669,40767,
349,max,831001,319030,
350,max,841742,319033,
351,max,841743,3772064,
352,max,841749,45668,
353,max,827193,39574,
354,max,836582,39577,
355,max,836583,39570,
356,max,835850,39573,
357,max,829425,39572,
358,max,829427,31748,
359,max,829421,31746,
360,max,823851,31211,
361,max,822106,31212,
362,max,827777,31745,
363,max,827775,31742,
364,max,827773,31743,
365,max,830366,31740,
366,max,837187,31217,
367,max,837180,34539,
368,max,837188,3772396,
369,max,2745709,33276,
370,max,840164,34536,
371,max,832114,34537,
372,max,840169,44913,
373,max,837238,35916,
374,max,830517,35914,
375,max,830515,35913,
376,max,815456,44915,
377,max,830511,35910,
378,max,828181,42836,
379,max,843848,35919,
380,max,843845,35918,
381,max,843840,42834,
382,max,830636,42835,
383,max,825454,43950,
384,max,825455,37989,
385,max,838400,35665,
386,max,832857,35660,
387,max,832853,35663,
388,max,844096,35662,
389,max,844091,35669,
390,max,844093,43448,
391,max,816579,43449,
392,max,815907,43440,
393,max,834722,43441,
394,max,839362,31960,
395,max,816908,31961,
396,max,819019,43332,
397,max,819016,43333,
398,max,819015,43446,
399,max,819014,31965,
400,max,819011,32243,
401,max,819010,32240,
402,max,819151,32241,
403,max,842138,32246,
404,max,835697,32244,
405,max,835699,32245,
406,max,835698,7354424,
407,max,839739,43550,
408,max,831582,43556,
409,max,831581,43557,
410,max,839208,43006,
411,max,839206,43007,
412,max,833729,35641,
413,max,833728,246439,
414,max,839203,31837,
415,max,836006,36361,
416,max,829207,36360,
417,max,835078,36363,
418,max,822566,36362,
419,max,818693,36365,
420,max,818691,36364,
421,max,818694,3771877,
422,max,844281,41693,
423,max,827940,42313,
424,max,827943,42310,
425,max,829638,42316,
426,max,829639,42314,
427,max,835902,45329,
428,max,837752,41162,
429,max,839972,41165,
430,max,839970,45320,
431,max,841029,45326,
432,max,841028,45325,
433,max,837534,3355126,
434,max,828668,39804,
435,max,837536,41166,
436,max,837530,39801,
437,max,837532,39802,
438,max,814736,42177,
439,max,837538,42176,
440,max,837539,42175,
441,max,820242,42174,
