,Mode,GeneA,GeneB,Score
288,max,181029,43142,
289,max,191456,42810,
290,max,186299,42811,
291,max,171646,42812,
292,max,177108,49892,
293,max,171857,42814,
294,max,172164,42816,
295,max,182286,42817,
296,max,175413,42819,
297,max,179684,38565,
298,max,172766,36791,
299,max,173028,36793,
300,max,190777,36826,
301,max,184611,36795,
302,max,171890,36824,
303,max,184613,36825,
304,max,172769,36799,
305,max,172768,36829,
306,max,185718,3354988,
307,max,181626,3354987,
308,max,181624,38623,
309,max,177764,38624,
310,max,181620,49168,
311,max,181621,38628,
312,max,192091,38629,
313,max,181158,40628,
314,max,190032,36178,
315,max,191528,36179,
316,max,185479,44227,
317,max,176072,44226,
318,max,176074,36174,
319,max,173558,44228,
320,max,191525,36176,
321,max,191526,36170,
322,max,181010,36173,
323,max,173793,33528,
324,max,173822,33529,
325,max,185679,33524,
326,max,173826,33526,
327,max,185670,33527,
328,max,185673,33521,
329,max,176463,41543,
330,max,190243,38199,
331,max,188549,41540,
332,max,175249,41547,
333,max,172372,41549,
334,max,172373,38193,
335,max,172370,38194,
336,max,172371,38195,
337,max,182058,38196,
338,max,191143,38197,
339,max,172374,50379,
340,max,172375,40948,
341,max,172219,40949,
342,max,187528,40760,
343,max,172218,40945,
344,max,185875,40946,
345,max,185873,40940,
346,max,179111,40941,
347,max,185870,40942,
348,max,176674,40767,
349,max,184873,319030,
350,max,173958,319033,
351,max,173955,3772064,
352,max,173954,45668,
353,max,173956,39574,
354,max,176471,39577,
355,max,179296,39570,
356,max,173953,39573,
357,max,173952,39572,
358,max,176694,31748,
359,max,172216,31746,
360,max,179629,31211,
361,max,179198,31212,
362,max,179624,31745,
363,max,179627,31742,
364,max,174956,31743,
365,max,176229,31740,
366,max,186111,31217,
367,max,190148,34539,
368,max,174957,3772396,
369,max,190381,33276,
370,max,189639,34536,
371,max,172978,34537,
372,max,173587,44913,
373,max,175526,35916,
374,max,175255,35914,
375,max,172204,35913,
376,max,172977,44915,
377,max,172970,35910,
378,max,175252,42836,
379,max,172201,35919,
380,max,183628,35918,
381,max,179533,42834,
382,max,179535,42835,
383,max,179534,43950,
384,max,179537,37989,
385,max,176211,35665,
386,max,176210,35660,
387,max,172992,35663,
388,max,172993,35662,
389,max,178669,35669,
390,max,178914,43448,
391,max,179440,43449,
392,max,178912,43440,
393,max,182626,43441,
394,max,191847,31960,
395,max,180127,31961,
396,max,182968,43332,
397,max,259801,43333,
398,max,178260,43446,
399,max,174232,31965,
400,max,189950,32243,
401,max,174234,32240,
402,max,174236,32241,
403,max,174239,32246,
404,max,174238,32244,
405,max,189959,32245,
406,max,172074,7354424,
407,max,176504,43550,
408,max,175638,43556,
409,max,176506,43557,
410,max,176503,43006,
411,max,176854,43007,
412,max,175630,35641,
413,max,176858,246439,
414,max,175636,31837,
415,max,175637,36361,
416,max,175634,36360,
417,max,173229,36363,
418,max,182949,36362,
419,max,184295,36365,
420,max,178006,36364,
421,max,178007,3771877,
422,max,182945,41693,
423,max,183097,42313,
424,max,3565259,42310,
425,max,179841,42316,
426,max,179842,42314,
427,max,172981,45329,
428,max,178863,41162,
429,max,187080,41165,
430,max,184487,45320,
431,max,183098,45326,
432,max,178208,45325,
433,max,180969,3355126,
434,max,180616,39804,
435,max,187645,41166,
436,max,180611,39801,
437,max,180612,39802,
438,max,180961,42177,
439,max,179997,42176,
440,max,174129,42175,
441,max,174699,42174,
442,max,174698,42173,
443,max,174697,42172,
444,max,174124,42171,
445,max,188640,36584,
446,max,174121,36587,
447,max,179375,36586,
448,max,179999,36580,
449,max,174690,36583,
450,max,171627,36589,
451,max,171621,53569,
452,max,173311,53562,
453,max,178711,53560,
454,max,172826,53561,
455,max,189773,53566,
456,max,173319,53564,
457,max,183700,53565,
458,max,181961,37363,
459,max,174247,37360,
460,max,180952,37366,
461,max,178482,43246,
462,max,3564942,37364,
463,max,190954,33031,
464,max,177800,37368,
465,max,179693,41374,
466,max,177808,41376,
467,max,187390,41377,
468,max,175472,41370,
469,max,180768,41372,
470,max,183417,41373,
471,max,177921,41379,
472,max,180760,31065,
473,max,266842,37188,
474,max,174342,37187,
475,max,266844,37185,
476,max,180765,37182,
477,max,174347,36673,
478,max,180767,37181,
479,max,181498,41150,
480,max,182611,41151,
481,max,189175,41152,
482,max,181491,41153,
483,max,180149,41154,
484,max,182619,41155,
485,max,181494,41156,
486,max,184472,41157,
487,max,174595,41158,
488,max,174907,41159,
489,max,188774,32139,
490,max,174901,40203,
491,max,174900,40202,
492,max,177243,40201,
493,max,181368,40207,
494,max,184272,40205,
495,max,184273,35611,
496,max,187262,37986,
497,max,266885,37987,
498,max,177249,37985,
499,max,181362,37982,
500,max,181360,33950,
501,max,180549,33953,
502,max,181365,33952,
503,max,177482,35342,
504,max,177481,33959,
505,max,177480,37988,
506,max,177485,35615,
507,max,177489,35340,
508,max,181566,34980,
509,max,190028,34987,
510,max,181562,34986,
511,max,172682,34329,
512,max,171959,34328,
513,max,171958,34326,
514,max,172687,43243,
515,max,172684,34323,
516,max,172685,34321,
517,max,171952,34320,
518,max,172689,31551,
519,max,171954,31550,
520,max,189006,31009,
521,max,182722,31556,
522,max,175090,31555,
523,max,173177,31554,
524,max,184429,35056,
525,max,185013,31004,
526,max,173174,35054,
527,max,176060,31558,
528,max,173171,35052,
529,max,181709,31000,
530,max,181702,31003,
531,max,181705,35051,
532,max,177662,2768934,
533,max,177661,38389,
534,max,177114,38388,
535,max,191448,38385,
536,max,177111,38386,
537,max,175538,38381,
538,max,190704,37316,
539,max,175339,34189,
540,max,172196,34183,
541,max,189033,34182,
542,max,172195,33677,
543,max,172192,34187,
544,max,172191,34186,
545,max,172751,34184,
546,max,176380,35279,
547,max,172755,35270,
548,max,171880,35271,
549,max,185709,35277,
550,max,171884,33853,
551,max,176024,30977,
552,max,181141,30975,
553,max,175583,30972,
554,max,181631,30971,
555,max,181148,33501,
556,max,190979,39386,
557,max,175586,39387,
558,max,191538,39385,
559,max,175117,39382,
560,max,176048,39381,
561,max,176045,32589,
562,max,176047,32588,
563,max,176040,32581,
564,max,173561,32582,
565,max,191026,32585,
566,max,178373,32584,
567,max,173818,32586,
568,max,182543,39098,
569,max,173768,35293,
570,max,173810,35584,
571,max,183891,35585,
572,max,172910,35586,
573,max,176144,39038,
574,max,173120,39039,
575,max,173121,35583,
576,max,175904,39034,
577,max,176410,39035,
578,max,176141,39036,
579,max,172363,39037,
580,max,185121,35588,
581,max,176143,39031,
582,max,175407,39032,
583,max,260097,39033,
584,max,191159,32725,
585,max,178155,32724,
586,max,185800,32055,
587,max,185807,32726,
588,max,182817,32053,
589,max,174935,32051,
590,max,173968,32050,
591,max,173969,35298,
592,max,176198,32728,
593,max,175097,39093,
594,max,178407,42788,
595,max,184865,42789,
596,max,176196,42781,
597,max,176445,42783,
598,max,176195,117294,
599,max,179610,42787,
600,max,179612,43831,
601,max,179616,43830,
602,max,175909,43785,
603,max,182136,43832,
604,max,190775,43783,
605,max,182139,43836,
606,max,176226,43839,
607,max,176227,43838,
608,max,179298,43789,
609,max,176221,43788,
610,max,172215,33238,
611,max,172214,45401,
612,max,187460,250735,
613,max,179297,43163,
614,max,176228,43162,
615,max,172210,43161,
616,max,175245,43160,
617,max,187465,43167,
618,max,188941,43166,
619,max,173582,43165,
620,max,173580,43164,
621,max,179059,43169,
622,max,179055,38547,
623,max,179053,246595,
624,max,179051,246596,
625,max,179274,38816,
626,max,179275,38543,
627,max,179272,38810,
628,max,179273,38813,
629,max,178903,38812,
630,max,178901,38819,
631,max,172989,43004,
632,max,178904,38549,
633,max,187728,38548,
634,max,174596,40743,
635,max,174597,36808,
636,max,180810,36809,
637,max,178279,40741,
638,max,174207,36778,
