,Mode,GeneA,GeneB,Score
291,max,843189,54581,
292,max,843181,439921,
293,max,843185,178,
294,max,842855,177,
295,max,842854,176,
296,max,842851,175,
297,max,842859,174,
298,max,818771,172,
299,max,818772,113146,
300,max,818775,146310,
301,max,843320,80108,
302,max,843453,8611,
303,max,816173,200558,
304,max,843329,202,
305,max,825285,139231,
306,max,825284,54621,
307,max,840981,256356,
308,max,825286,57085,
309,max,825283,10391,
310,max,817996,10392,
311,max,842582,10393,
312,max,816177,10395,
313,max,842589,57082,
314,max,829134,10398,
315,max,832003,10399,
316,max,832000,57088,
317,max,832009,100130892,
318,max,817197,22995,
319,max,817198,84722,
320,max,828417,7214,
321,max,828413,7216,
322,max,828412,6217,
323,max,830352,55835,
324,max,830355,6210,
325,max,830354,55832,
326,max,824422,54413,
327,max,824423,6218,
328,max,821900,6819,
329,max,821901,6818,
330,max,821907,79937,
331,max,821904,6811,
332,max,824425,6810,
333,max,821908,6813,
334,max,824429,6812,
335,max,817370,6814,
336,max,828733,6817,
337,max,828737,9757,
338,max,828735,9755,
339,max,819827,9753,
340,max,820500,10579,
341,max,820505,9750,
342,max,820507,10574,
343,max,821630,10575,
344,max,821631,10576,
345,max,821634,10577,
346,max,821635,10570,
347,max,828084,10572,
348,max,832669,10573,
349,max,831001,24146,
350,max,841742,24147,
351,max,841743,24144,
352,max,841749,22993,
353,max,827193,24142,
354,max,836582,55011,
355,max,836583,24140,
356,max,835850,8913,
357,max,829425,23515,
358,max,829427,24148,
359,max,829421,24149,
360,max,823851,8848,
361,max,822106,8840,
362,max,827777,8841,
363,max,827775,8842,
364,max,827773,8844,
365,max,830366,8846,
366,max,837187,8915,
367,max,837180,1319,
368,max,837188,80817,
369,max,2745709,146862,
370,max,840164,493829,
371,max,832114,80818,
372,max,840169,169611,
373,max,837238,346389,
374,max,830517,1762,
375,max,830515,1763,
376,max,815456,1760,
377,max,830511,1761,
378,max,828181,10868,
379,max,843848,404281,
380,max,843845,11119,
381,max,843840,51115,
382,max,830636,1544,
383,max,825454,1545,
384,max,825455,696,
385,max,838400,694,
386,max,832857,695,
387,max,832853,11113,
388,max,844096,699,
389,max,844091,11117,
390,max,844093,58533,
391,max,816579,8711,
392,max,815907,222484,
393,max,834722,8714,
394,max,839362,8715,
395,max,816908,8717,
396,max,819019,8718,
397,max,819016,79707,
398,max,819015,79705,
399,max,819014,57732,
400,max,819011,65983,
401,max,819010,51112,
402,max,819151,10251,
403,max,842138,51031,
404,max,835697,389203,
405,max,835699,79149,
406,max,835698,55102,
407,max,839739,55103,
408,max,831582,5618,
409,max,831581,5619,
410,max,839208,65982,
411,max,839206,5612,
412,max,833729,5613,
413,max,833728,5610,
414,max,839203,55109,
415,max,836006,5616,
416,max,829207,5617,
417,max,835078,51118,
418,max,822566,55069,
419,max,818693,55068,
420,max,818691,339448,
421,max,818694,4668,
422,max,844281,23266,
423,max,827940,23264,
424,max,827943,23265,
425,max,829638,23262,
426,max,829639,23263,
427,max,835902,23261,
428,max,837752,9528,
429,max,839972,23268,
430,max,839970,23269,
431,max,841029,90523,
432,max,841028,25959,
433,max,837534,10252,
434,max,828668,643535,
435,max,837536,57474,
436,max,837530,90522,
437,max,837532,9527,
438,max,814736,116437,
439,max,837538,9252,
440,max,837539,644815,
441,max,820242,57471,
442,max,827568,57472,
443,max,820249,128853,
444,max,820718,448834,
445,max,818670,6778,
446,max,828481,6779,
447,max,828271,122704,
448,max,818673,1809,
449,max,828274,6774,
450,max,841687,6775,
451,max,841685,6776,
452,max,841682,6777,
453,max,841680,6770,
454,max,820866,6772,
455,max,841978,6773,
456,max,827384,92745,
457,max,827381,9965,
458,max,841972,9966,
459,max,841975,9967,
460,max,841974,9960,
461,max,820869,9961,
462,max,833534,9962,
463,max,833535,56106,
464,max,814997,56105,
465,max,815024,9968,
466,max,825842,9969,
467,max,816220,386618,
468,max,816225,4664,
469,max,816224,201895,
470,max,830525,386617,
471,max,820895,259,
472,max,829380,55818,
473,max,837202,55819,
474,max,829382,55814,
475,max,829387,55815,
476,max,830520,55816,
477,max,844137,55810,
478,max,842833,55812,
479,max,844135,55813,
480,max,842835,64795,
481,max,844133,326594,
482,max,844130,84135,
483,max,842836,159371,
484,max,842838,10866,
485,max,818751,1678,
486,max,818754,677768,
487,max,843303,84552,
488,max,843305,90673,
489,max,838614,57418,
490,max,838343,9509,
491,max,835260,140850,
492,max,835261,9502,
493,max,835266,9503,
494,max,835264,9500,
495,max,838348,9501,
496,max,835269,9507,
497,max,839564,57414,
498,max,832063,3577,
499,max,832064,64793,
500,max,832068,84108,
501,max,839568,84109,
502,max,817173,3689,
503,max,817170,3688,
504,max,830372,84100,
505,max,830374,3682,
506,max,825150,3681,
507,max,825153,84103,
508,max,828475,3687,
509,max,828477,84105,
510,max,821381,3685,
511,max,821382,3684,
512,max,832289,90480,
513,max,832288,2796,
514,max,843653,64928,
515,max,821388,2519,
516,max,824405,649330,
517,max,824407,90488,
518,max,821432,2515,
519,max,821921,2516,
520,max,832283,2517,
521,max,828714,64921,
522,max,828715,26047,
523,max,828716,26046,
524,max,828717,152663,
525,max,817317,361,
526,max,828713,2797,
527,max,838966,5058,
528,max,842303,3537,
529,max,831398,5054,
530,max,831399,5055,
531,max,828556,22818,
532,max,842700,5050,
533,max,833880,5052,
534,max,833881,5053,
535,max,836616,26022,
536,max,828552,138065,
537,max,825030,60468,
538,max,831020,162699,
539,max,831021,10763,
540,max,831024,10762,
541,max,831025,10765,
542,max,831027,10767,
543,max,841765,10766,
544,max,841761,10769,
545,max,835875,10768,
546,max,835872,54997,
547,max,835871,54994,
548,max,820385,54995,
549,max,827173,112936,
550,max,830029,493753,
551,max,832763,26024,
552,max,5007942,54998,
553,max,839517,400506,
554,max,829404,342667,
555,max,829401,122011,
556,max,829400,80117,
557,max,839045,79140,
558,max,827710,64806,
559,max,827714,83452,
560,max,2745723,83451,
561,max,2745726,132320,
562,max,2745725,255520,
563,max,818036,88455,
564,max,818037,285172,
565,max,818034,79441,
566,max,818030,4168,
567,max,818031,83637,
568,max,840148,83636,
569,max,840410,347736,
570,max,840141,10181,
571,max,840412,10180,
572,max,844308,10042,
573,max,844304,347733,
574,max,837252,7976,
575,max,830575,161582,
576,max,837257,10189,
577,max,837256,10188,
578,max,843828,83639,
579,max,825437,83638,
580,max,834056,3957,
581,max,834057,29995,
582,max,843823,23078,
583,max,843827,1159,
584,max,834503,1158,
585,max,826447,1155,
586,max,823657,23072,
587,max,823650,23071,
588,max,823651,23070,
589,max,823652,23077,
590,max,830615,23076,
591,max,830616,1153,
592,max,830612,1152,
593,max,826449,29127,
594,max,838421,29126,
595,max,838424,25898,
596,max,822380,29123,
597,max,3768663,29122,
598,max,822388,25890,
599,max,819252,25897,
600,max,825385,25896,
601,max,825382,25895,
602,max,832503,29128,
603,max,816962,400120,
604,max,819785,22877,
605,max,819784,10382,
606,max,819783,8036,
607,max,816965,8031,
608,max,831629,8030,
609,max,819079,64799,
610,max,819070,8038,
611,max,819075,283638,
612,max,819077,8528,
613,max,838305,8522,
614,max,842157,8521,
615,max,842154,8520,
616,max,838289,8527,
617,max,838284,8526,
618,max,838281,8525,
619,max,838280,387856,
620,max,829245,169522,
621,max,822524,26608,
622,max,829241,728489,
623,max,829240,344558,
624,max,831565,51540,
625,max,818457,221981,
626,max,822529,126669,
627,max,831560,127281,
628,max,839771,150368,
629,max,835011,150365,
630,max,835010,103910,
631,max,835015,65062,
632,max,835016,65061,
633,max,839481,389058,
634,max,827928,158471,
635,max,831422,26548,
636,max,827923,4299,
637,max,829652,4298,
638,max,821469,4294,
639,max,829651,4297,
640,max,829657,4296,
641,max,829654,4291,
642,max,816787,80700,
643,max,816784,4293,
644,max,816782,4292,
645,max,816780,23381,
646,max,837732,23380,
647,max,837733,23383,
648,max,837886,23382,
649,max,837888,23385,
650,max,832547,23384,
651,max,832542,23387,
652,max,832543,23386,
653,max,832540,23389,
654,max,839953,151507,
655,max,832549,80704,
656,max,817784,155465,
657,max,823287,81565,
658,max,836287,81567,
659,max,841786,81566,
660,max,841787,6368,
661,max,837084,344148,
662,max,837087,165631,
663,max,835233,4741,
664,max,824368,4747,
665,max,827435,4745,
666,max,817439,4744,
667,max,817437,55643,
668,max,817433,6207,
669,max,817432,5869,
670,max,820268,5868,
671,max,827541,55646,
672,max,826639,5865,
673,max,826635,5864,
674,max,826632,5867,
675,max,828297,5866,
676,max,828296,5861,
677,max,840316,5860,
678,max,841407,5863,
679,max,831817,5862,
680,max,841958,56667,
681,max,841409,56664,
682,max,831810,56663,
683,max,831813,56848,
684,max,820841,7581,
685,max,820842,10434,
686,max,827575,2182,
687,max,823827,2181,
688,max,833552,2180,
689,max,833559,2187,
690,max,827574,2186,
691,max,815008,2185,
692,max,815558,4609,
693,max,815006,4606,
694,max,815007,4607,
695,max,816206,2189,
696,max,843142,4605,
697,max,844110,4602,
698,max,844112,4603,
699,max,844117,4601,
700,max,842811,93377,
701,max,842810,8682,
702,max,843368,57649,
703,max,834260,27069,
704,max,843366,57647,
705,max,843367,57646,
706,max,843497,57645,
707,max,835244,57644,
708,max,838365,57642,
709,max,835240,27237,
710,max,838363,27236,
711,max,832048,27231,
712,max,839549,140628,
713,max,839548,27232,
714,max,839547,51124,
715,max,839014,51125,
716,max,839545,51126,
717,max,832733,51127,
718,max,828905,220594,
719,max,825172,27238,
720,max,828907,51122,
721,max,828457,6902,
722,max,828900,151,
723,max,828903,150,
724,max,817152,153,
725,max,828909,152,
726,max,828908,155,
727,max,830399,6457,
728,max,830395,157,
729,max,817334,156,
730,max,817845,159,
731,max,817332,158,
732,max,819865,6456,
733,max,824170,9293,
734,max,821411,85442,
735,max,824173,85440,
