,Mode,GeneA,GeneB,Score
288,max,838630,312607,
289,max,838636,192152,
290,max,816249,315139,
291,max,843189,24605,
292,max,843181,25135,
293,max,843185,691903,
294,max,842855,24954,
295,max,842854,24957,
296,max,842851,25139,
297,max,842859,117505,
298,max,818771,25420,
299,max,818772,25427,
300,max,818775,287633,
301,max,843320,307474,
302,max,843453,140639,
303,max,816173,312916,
304,max,843329,312915,
305,max,825285,116743,
306,max,825284,25551,
307,max,840981,64033,
308,max,825286,64030,
309,max,825283,116504,
310,max,817996,29741,
311,max,842582,25558,
312,max,816177,500666,
313,max,842589,116692,
314,max,829134,116690,
315,max,832003,81774,
316,max,832000,81775,
317,max,832009,81777,
318,max,817197,81771,
319,max,817198,81773,
320,max,828417,317259,
321,max,828413,317256,
322,max,828412,58835,
323,max,830352,170915,
324,max,830355,304809,
325,max,830354,170917,
326,max,824422,362891,
327,max,824423,314721,
328,max,821900,294239,
329,max,821901,304807,
330,max,821907,313413,
331,max,821904,60465,
332,max,824425,60466,
333,max,821908,301535,
334,max,824429,501621,
335,max,817370,501625,
336,max,828733,293621,
337,max,828737,63868,
338,max,828735,58945,
339,max,819827,295050,
340,max,820500,295052,
341,max,820505,58940,
342,max,820507,161452,
343,max,821630,58948,
344,max,821631,246756,
345,max,821634,246757,
346,max,821635,246755,
347,max,828084,304971,
348,max,832669,29345,
349,max,831001,29340,
350,max,841742,64367,
351,max,841743,24176,
352,max,841749,293820,
353,max,827193,293502,
354,max,836582,363274,
355,max,836583,316273,
356,max,835850,54190,
357,max,829425,83633,
358,max,829427,553106,
359,max,829421,246118,
360,max,823851,399489,
361,max,822106,29748,
362,max,827777,29290,
363,max,827775,84494,
364,max,827773,360921,
365,max,830366,298584,
366,max,837187,296570,
367,max,837180,502389,
368,max,837188,24547,
369,max,2745709,306332,
370,max,840164,299617,
371,max,832114,24380,
372,max,840169,24383,
373,max,837238,24387,
374,max,830517,363854,
375,max,830515,83709,
376,max,815456,114202,
377,max,830511,114208,
378,max,828181,50871,
